donor,recipient,commitment_amount_usd_constant,donor_lon,donor_lat,recipient_lon,recipient_lat
Australia,Brazil,3860791,134.0227717,-25.69733767,-54.35520661,-11.52463042
Australia,Chile,5492091,134.0227717,-25.69733767,-70.76863432,-37.82938283
Australia,Colombia,966533,134.0227717,-25.69733767,-72.64450662,4.187753877
Australia,India,34079699,134.0227717,-25.69733767,81.17300409,23.58630057
Australia,South Africa,9537136,134.0227717,-25.69733767,24.75252746,-28.55361931
Australia,Thailand,13328806,134.0227717,-25.69733767,101.0867512,13.66222785
Austria,Brazil,1493316,13.79777836,47.63185827,-54.35520661,-11.52463042
Austria,Chile,298127,13.79777836,47.63185827,-70.76863432,-37.82938283
Austria,Colombia,769873,13.79777836,47.63185827,-72.64450662,4.187753877
Austria,India,3048457,13.79777836,47.63185827,81.17300409,23.58630057
Austria,South Africa,485066,13.79777836,47.63185827,24.75252746,-28.55361931
Austria,Thailand,1074200,13.79777836,47.63185827,101.0867512,13.66222785
Belgium,Brazil,4700942,4.675010155,50.61821389,-54.35520661,-11.52463042
Belgium,Chile,220366,4.675010155,50.61821389,-70.76863432,-37.82938283
Belgium,Colombia,3850493,4.675010155,50.61821389,-72.64450662,4.187753877
Belgium,India,28219204,4.675010155,50.61821389,81.17300409,23.58630057
Belgium,South Africa,31180189,4.675010155,50.61821389,24.75252746,-28.55361931
Belgium,Thailand,146154,4.675010155,50.61821389,101.0867512,13.66222785
Canada,Brazil,1831334,-98.41680518,57.55048004,-54.35520661,-11.52463042
Canada,Chile,632608,-98.41680518,57.55048004,-70.76863432,-37.82938283
Canada,Colombia,35377674,-98.41680518,57.55048004,-72.64450662,4.187753877
Canada,India,4353297,-98.41680518,57.55048004,81.17300409,23.58630057
Canada,South Africa,11612085,-98.41680518,57.55048004,24.75252746,-28.55361931
Canada,Thailand,977203,-98.41680518,57.55048004,101.0867512,13.66222785
Czech Republic,Brazil,10670,15.38327329,49.74917371,-54.35520661,-11.52463042
Czech Republic,Chile,10823,15.38327329,49.74917371,-70.76863432,-37.82938283
Czech Republic,Colombia,51840,15.38327329,49.74917371,-72.64450662,4.187753877
Czech Republic,India,47310,15.38327329,49.74917371,81.17300409,23.58630057
Czech Republic,South Africa,2382,15.38327329,49.74917371,24.75252746,-28.55361931
Czech Republic,Thailand,127,15.38327329,49.74917371,101.0867512,13.66222785
Denmark,Brazil,2580623,9.378670542,56.00118818,-54.35520661,-11.52463042
Denmark,Colombia,796489,9.378670542,56.00118818,-72.64450662,4.187753877
Denmark,India,410634,9.378670542,56.00118818,81.17300409,23.58630057
Denmark,South Africa,1154024,9.378670542,56.00118818,24.75252746,-28.55361931
Finland,Brazil,980996,25.65738433,65.0157896,-54.35520661,-11.52463042
Finland,Chile,482569,25.65738433,65.0157896,-70.76863432,-37.82938283
Finland,Colombia,1671506,25.65738433,65.0157896,-72.64450662,4.187753877
Finland,India,5059906,25.65738433,65.0157896,81.17300409,23.58630057
Finland,South Africa,4691014,25.65738433,65.0157896,24.75252746,-28.55361931
Finland,Thailand,1047721,25.65738433,65.0157896,101.0867512,13.66222785
France,Brazil,192941373,2.194023663,46.64236822,-54.35520661,-11.52463042
France,Chile,29200242,2.194023663,46.64236822,-70.76863432,-37.82938283
France,Colombia,409065697,2.194023663,46.64236822,-72.64450662,4.187753877
France,India,197505665,2.194023663,46.64236822,81.17300409,23.58630057
France,South Africa,403617963,2.194023663,46.64236822,24.75252746,-28.55361931
France,Thailand,14761399,2.194023663,46.64236822,101.0867512,13.66222785
Germany,Brazil,141450302,10.42617143,51.0830454,-54.35520661,-11.52463042
Germany,Chile,211875978,10.42617143,51.0830454,-70.76863432,-37.82938283
Germany,Colombia,91101460,10.42617143,51.0830454,-72.64450662,4.187753877
Germany,India,906671404,10.42617143,51.0830454,81.17300409,23.58630057
Germany,South Africa,199621279,10.42617143,51.0830454,24.75252746,-28.55361931
Germany,Thailand,31876249,10.42617143,51.0830454,101.0867512,13.66222785
Greece,Brazil,58619,23.11036894,39.42012262,-54.35520661,-11.52463042
Greece,Chile,15818,23.11036894,39.42012262,-70.76863432,-37.82938283
Greece,Colombia,21221,23.11036894,39.42012262,-72.64450662,4.187753877
Greece,India,24288,23.11036894,39.42012262,81.17300409,23.58630057
Greece,South Africa,95111,23.11036894,39.42012262,24.75252746,-28.55361931
Greece,Thailand,7074,23.11036894,39.42012262,101.0867512,13.66222785
Iceland,India,20458,-19.05682967,65.1236092,81.17300409,23.58630057
Iceland,South Africa,112960,-19.05682967,65.1236092,24.75252746,-28.55361931
Ireland,Brazil,519582,-8.241128546,53.3048954,-54.35520661,-11.52463042
Ireland,Colombia,780708,-8.241128546,53.3048954,-72.64450662,4.187753877
Ireland,India,3706202,-8.241128546,53.3048954,81.17300409,23.58630057
Ireland,South Africa,6118502,-8.241128546,53.3048954,24.75252746,-28.55361931
Ireland,Thailand,160190,-8.241128546,53.3048954,101.0867512,13.66222785
Italy,Brazil,7972658,12.76365717,42.98201128,-54.35520661,-11.52463042
Italy,Chile,126858,12.76365717,42.98201128,-70.76863432,-37.82938283
Italy,Colombia,2873780,12.76365717,42.98201128,-72.64450662,4.187753877
Italy,India,10429754,12.76365717,42.98201128,81.17300409,23.58630057
Italy,South Africa,1198326,12.76365717,42.98201128,24.75252746,-28.55361931
Italy,Thailand,1078371,12.76365717,42.98201128,101.0867512,13.66222785
Japan,Brazil,23201808,137.4693423,36.76738833,-54.35520661,-11.52463042
Japan,Chile,3792003,137.4693423,36.76738833,-70.76863432,-37.82938283
Japan,Colombia,7960781,137.4693423,36.76738833,-72.64450662,4.187753877
Japan,India,2555651795,137.4693423,36.76738833,81.17300409,23.58630057
Japan,South Africa,8897440,137.4693423,36.76738833,24.75252746,-28.55361931
Japan,Thailand,41696270,137.4693423,36.76738833,101.0867512,13.66222785
Korea,Brazil,27522722,126.978,37.5665,-54.35520661,-11.52463042
Korea,Chile,39631770,126.978,37.5665,-70.76863432,-37.82938283
Korea,Colombia,11296970,126.978,37.5665,-72.64450662,4.187753877
Korea,India,260771063,126.978,37.5665,81.17300409,23.58630057
Korea,South Africa,404782,126.978,37.5665,24.75252746,-28.55361931
Korea,Thailand,57696025,126.978,37.5665,101.0867512,13.66222785
Luxembourg,Brazil,1430956,6.103230338,49.77523455,-54.35520661,-11.52463042
Luxembourg,Chile,351510,6.103230338,49.77523455,-70.76863432,-37.82938283
